Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Returns
2018-02-05,190.07000732421875,194.3000030517578,180.3800048828125,183.11000061035156,171.2264862060547,10618500,0.0,0,-0.05598807641706327
2018-02-06,178.6199951171875,191.9600067138672,175.4199981689453,191.0399932861328,178.641845703125,11682700,0.0,0,0.043307315716019756
2018-02-07,190.72999572753906,194.52000427246094,189.72000122070312,191.2899932861328,178.8756561279297,6016800,0.0,0,0.0013088222632520186
2018-02-08,191.13999938964844,191.13999938964844,180.92999267578125,181.22000122070312,169.45916748046875,7241800,0.0,0,-0.052642650494186705
2018-02-09,183.25,186.0,175.7899932861328,184.1199951171875,172.17091369628906,9059200,0.0,0,0.016002357713299054
2018-02-12,186.5500030517578,187.00999450683594,183.41000366210938,184.05999755859375,172.11485290527344,6783700,0.0,0,-0.00032561127667896095
2018-02-13,183.22999572753906,183.99000549316406,180.88999938964844,183.72000122070312,171.79689025878906,4273800,0.0,0,-0.001847386446417687
2018-02-14,181.8800048828125,185.05999755859375,181.0500030517578,184.69000244140625,172.70396423339844,6767000,0.0,0,0.005279920802076177
2018-02-15,186.74000549316406,187.19000244140625,183.25999450683594,185.27000427246094,173.24632263183594,5113300,0.0,0,0.0031403934521418986
2018-02-16,185.05999755859375,187.99000549316406,184.86000061035156,186.97000122070312,174.8359832763672,7619200,0.0,0,0.009175725177782867
2018-02-20,189.89999389648438,191.44000244140625,186.30999755859375,186.7100067138672,174.59288024902344,8922100,0.0,0,-0.0013904633519260523
2018-02-21,187.2100067138672,187.97999572753906,182.86000061035156,183.05999755859375,171.17971801757812,7527200,0.0,0,-0.019549263558611862
2018-02-22,183.72000122070312,186.22000122070312,182.91000366210938,185.47000122070312,173.43333435058594,5653900,0.0,0,0.013165206480690639
2018-02-23,186.1999969482422,188.41000366210938,185.6199951171875,188.35000610351562,176.1264190673828,4315400,0.0,0,0.015528068620032087
2018-02-26,189.1699981689453,189.7899932861328,187.86000061035156,188.4600067138672,176.2292938232422,4648000,0.0,0,0.0005840961078078521
2018-02-27,188.8699951171875,189.25,184.9600067138672,184.97999572753906,172.97512817382812,4618800,0.0,0,-0.01846552056593942
2018-02-28,184.41000366210938,186.64999389648438,182.27000427246094,182.27000427246094,170.44100952148438,6419900,0.0,0,-0.014650190921073558
2018-03-01,182.75,184.39999389648438,178.25,179.63999938964844,167.98165893554688,6123900,0.0,0,-0.014429335949383115
2018-03-02,177.72000122070312,179.19000244140625,176.33999633789062,178.4600067138672,166.87826538085938,5671000,0.0,0,-0.006568535884687643
2018-03-05,177.86000061035156,182.25999450683594,177.6999969482422,181.74000549316406,169.9454345703125,5748600,0.0,0,0.01837968043623328
2018-03-06,182.75,183.0,179.50999450683594,181.63999938964844,169.8518829345703,5306800,0.0,0,-0.0005504804290784593
2018-03-07,178.82000732421875,180.0,176.82000732421875,178.5800018310547,167.9428253173828,4799200,1.03,0,-0.011239543443406497
2018-03-08,179.44000244140625,179.97999572753906,176.72999572753906,177.94000244140625,167.34092712402344,4750700,0.0,0,-0.0035839470499671178
2018-03-09,179.0,182.24000549316406,177.9199981689453,182.16000366210938,171.30955505371094,4477200,0.0,0,0.023715823725215746
2018-03-12,182.42999267578125,183.05999755859375,179.5500030517578,179.7100067138672,169.00552368164062,4993300,0.0,0,-0.013449520497253786
2018-03-13,179.58999633789062,180.9499969482422,177.86000061035156,178.35000610351562,167.72654724121094,6128100,0.0,0,-0.007567660586283109
2018-03-14,179.10000610351562,179.66000366210938,175.88999938964844,177.41000366210938,166.84249877929688,4531500,0.0,0,-0.005270772435580495
2018-03-15,177.69000244140625,179.86000061035156,176.72000122070312,178.07000732421875,167.4631805419922,3936700,0.0,0,0.0037201658284702344
2018-03-16,178.42999267578125,180.39999389648438,177.97000122070312,178.9600067138672,168.30015563964844,8410900,0.0,0,0.004997964895611107
2018-03-19,178.64999389648438,179.32000732421875,176.0,177.10000610351562,166.55096435546875,4744500,0.0,0,-0.010393283818019294
2018-03-20,177.63999938964844,178.88999938964844,177.16000366210938,178.16000366210938,167.54783630371094,4148300,0.0,0,0.005985386827989547
2018-03-21,178.35000610351562,180.13999938964844,177.67999267578125,178.02000427246094,167.41616821289062,3494400,0.0,0,-0.0007858537222864559
2018-03-22,177.4199981689453,178.55999755859375,175.0800018310547,175.2899932861328,164.84878540039062,5255100,0.0,0,-0.01533533373691398
2018-03-23,176.24000549316406,177.05999755859375,171.55999755859375,171.8000030517578,161.56668090820312,6021300,0.0,0,-0.019909788744975065
2018-03-26,174.11000061035156,176.8000030517578,173.52000427246094,176.3800048828125,165.8738555908203,7323600,0.0,0,0.026658805258643614
2018-03-27,177.3800048828125,178.72999572753906,173.60000610351562,174.67999267578125,164.2750701904297,4713900,0.0,0,-0.009638561753423813
2018-03-28,175.24000549316406,177.52999877929688,173.9199981689453,174.75999450683594,164.350341796875,4318600,0.0,0,0.0004582046829020303
2018-03-29,175.6999969482422,178.63999938964844,175.5,178.24000549316406,167.623046875,4423500,0.0,0,0.01991298005433917
2018-04-02,177.14999389648438,177.69000244140625,170.4199981689453,172.89999389648438,162.6011505126953,7229300,0.0,0,-0.029959462352749267
2018-04-03,172.77999877929688,174.94000244140625,172.42999267578125,173.75999450683594,163.40992736816406,5283300,0.0,0,0.004973992206811717
